[1] 0x0000    7.532   16.910    7.005:   103.16     6.77    18.94 1627334607.5478
[0] 0x0000    7.629   15.130    7.282:   122.08     1.19   -86.84 1627334607.5519
[1] 0x0000    7.532   16.910    7.005:   103.16     6.77    18.94 1627334607.5519
[0] 0x0000    7.629   15.130    7.282:   122.08     1.19   -86.84 1627334607.5561
[1] 0x0000    7.532   16.910    7.005:   103.16     6.77    18.94 1627334607.5561
[0] 0x0000    7.629   15.130    7.282:   122.08     1.19   -86.84 1627334607.5603
[1] 0x0000    7.532   16.910    7.005:   103.16     6.77    18.94 1627334607.5603
[0] 0x0000    7.629   15.130    7.282:   122.08     1.19   -86.84 1627334607.5644
[1] 0x0000    7.532   16.910    7.005:   103.16     6.77    18.94 1627334607.5644
[0] 0x0000    7.629   15.130    7.282:   122.08     1.19   -86.84 1627334607.5686
[1] 0x0000    7.532   16.910    7.005:   103.16     6.77    18.94 1627334607.5686
[0] 0x0000    7.629   15.130    7.282:   122.08     1.19   -86.84 1627334607.5728
[1] 0x0000    7.532   16.910    7.005:   103.16     6.77    18.94 1627334607.5728
[0] 0x0000    7.629   15.130    7.282:   122.08     1.19   -86.84 1627334607.5769
[1] 0x0000    7.532   16.910    7.005:   103.16     6.77    18.94 1627334607.5769
[0] 0x0000    7.629   15.130    7.282:   122.08     1.19   -86.84 1627334607.5811
[1] 0x0000    7.537   16.910    7.005:   103.16     6.77    18.94 1627334607.5811
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.84 1627334607.5853
[1] 0x0000    7.537   16.910    7.005:   103.16     6.77    18.94 1627334607.5853
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.84 1627334607.5894
[1] 0x0000    7.537   16.910    7.005:   103.16     6.77    18.94 1627334607.5894
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.84 1627334607.5936
[1] 0x0000    7.537   16.910    7.005:   103.16     6.77    18.96 1627334607.5936
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.84 1627334607.5978
[1] 0x0000    7.537   16.910    7.000:   103.16     6.77    18.96 1627334607.5978
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.84 1627334607.6019
[1] 0x0000    7.537   16.910    7.000:   103.16     6.77    18.96 1627334607.6019
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.84 1627334607.6061
[1] 0x0000    7.537   16.910    7.000:   103.16     6.77    18.96 1627334607.6061
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.84 1627334607.6102
[1] 0x0000    7.537   16.910    7.000:   103.16     6.77    18.96 1627334607.6102
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.81 1627334607.6144
[1] 0x0000    7.537   16.910    7.000:   103.16     6.77    18.96 1627334607.6144
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.81 1627334607.6186
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6186
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.81 1627334607.6227
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6227
[0] 0x0000    7.629   15.130    7.282:   122.08     1.16   -86.81 1627334607.6269
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6269
[0] 0x0000    7.629   15.130    7.282:   122.06     1.16   -86.81 1627334607.6311
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6311
[0] 0x0000    7.629   15.130    7.282:   122.06     1.16   -86.81 1627334607.6352
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6352
[0] 0x0000    7.629   15.130    7.282:   122.06     1.16   -86.81 1627334607.6394
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6394
[0] 0x0000    7.629   15.130    7.282:   122.06     1.16   -86.81 1627334607.6436
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6436
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6477
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6477
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6519
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6519
[0] 0x0000    7.633   15.130    7.282:   122.06     1.16   -86.81 1627334607.6561
[1] 0x0000    7.537   16.910    7.000:   103.14     6.77    18.96 1627334607.6561
